fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	learning_rate	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231117 032617	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	825	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.186565703725388	662	10619	12549	78135430.7846077	25
20231117 032902	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	102	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.215609863198351	945	1115	12309	78860128.4357821	26
20231117 033156	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.326041508565059	810	10723	11685	67082161.4192904	27
20231117 033910	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	620	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.601993712543578	153	12122	12022	84060232.8835582	28
20231117 034202	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	243	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.936737442008333	832	2748	11355	89147903.5482259	29
20231117 034422	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.814402053292847	125	10536	11229	84867884.5577211	30
20231117 034847	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	192	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.583701915997266	336	2267	10544	86343464.2678661	31
20231117 040121	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1162	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.584488660232034	473	14835	11841	78843574.7126437	32
20231117 040424	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.333805992028128	129	6700	11630	79542563.7181409	33
20231117 040716	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.325366559326915	868	12052	13814	68455263.3683158	34
