fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	learning_rate	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231117 021306	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.392530797584914	27	5063	20998	72822395.8020989	1
20231117 021525	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.315665651619202	54	2080	10379	60973326.8365817	2
20231117 021705	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.957000502257142	75	6482	11674	86211195.4022989	3
20231117 022102	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	153	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.55173118506209	46	3082	10063	76193642.6786607	4
20231117 022442	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	154	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.42077623049845	81	5618	13469	79327634.6826587	5
20231117 022640	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.86210464592441	59	4201	11398	78290861.5692154	6
20231117 022754	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.777936380903702	21	6891	10711	84802950.0249875	7
20231117 023121	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	110	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.49746587194968	38	1215	9324	82573399.3003498	8
20231117 023310	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.112530592118856	63	3873	18509	60395100.9495252	9
20231117 023526	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.688684853655286	92	7906	9646	84102827.5862069	10
20231117 023730	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.215703032922465	13	6205	13786	77612382.8085957	11
20231117 023904	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	103	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.732674492575461	95	2234	11418	93005554.2228886	12
20231117 024014	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.976250153300824	96	1333	11767	80115657.6711644	13
20231117 024146	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	99	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.629799171372203	98	1707	10938	82730631.6841579	14
20231117 024313	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	128	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.72591109504024	39	1841	12173	87132148.4257871	15
20231117 024508	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	171	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.735593062152843	100	3859	12092	92721237.3813093	16
20231117 024629	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	86	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.754986788850898	100	1259	12110	83347961.0194903	17
20231117 024840	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.757682734262871	92	3808	10985	75773145.9270365	18
20231117 025028	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.127155392205557	36	2724	8435	60645834.5827086	19
20231117 025353	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.57932186079648	93	3261	13960	74468665.6671664	20
20231117 025838	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	482	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.180182257394518	78	6779	12753	74687540.7296352	21
20231117 030011	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	110	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.972885098834825	78	2090	11127	95115317.8410795	22
20231117 030322	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	78	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.459132354975941	89	1533	12306	87094041.9790105	23
20231117 030539	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.673925232788024	93	3982	9800	77551324.3378311	24
20231117 031125	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	361	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.525075448077357	76	4322	13042	77637094.4527736	25
20231117 031822	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	556	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.520410263790478	15	7734	11409	69720528.2358821	26
20231117 032146	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	112	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.486793897798944	12	4812	6919	57593806.5967017	27
20231117 032414	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.613227333113548	64	6484	10333	87369329.8350825	28
20231117 032611	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	86	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.113519865839028	33	1161	8271	78479511.7441279	29
20231117 032824	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.186565703725388	68	4700	9482	73231537.2313843	30
20231117 033159	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	87	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.215609863198351	93	1357	11571	80249416.7916042	31
20231117 033336	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	129	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.828979717335026	84	2128	11787	92338896.051974	32
20231117 033722	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	221	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.326041508565059	81	4737	11999	88529678.6606697	33
20231117 033834	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.918699315454435	78	1253	18370	80433848.075962	34
20231117 034008	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	126	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.942176503372787	79	2334	11197	85573663.6681659	35
20231117 034137	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	108	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.924568448785994	80	1939	11398	88764764.6176912	36
20231117 034352	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.601993712543578	23	5229	8653	62617805.5972014	37
20231117 034504	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.936737442008333	83	1931	9190	68337386.3068466	38
20231117 034630	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.814402053292847	20	4671	9514	74210515.7421289	39
20231117 034902	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.583701915997266	39	1762	9819	65501602.6986507	40
20231117 035249	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	187	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.584488660232034	51	6183	12183	80155901.5492254	41
20231117 035555	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	136	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.333805992028128	20	3322	11057	84585267.866067	42
20231117 035829	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.325366559326915	87	5204	10446	73818949.5252374	43
20231117 040229	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	205	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.43462467720039	42	3391	11002	78393976.011994	44
20231117 040411	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.825502640201698	33	7794	9042	82637774.1129435	45
20231117 040806	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	160	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.4877810671457	84	4153	11921	84816908.045977	46
20231117 040935	619	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106853	0.764348257525251	98	7076	9808	85753155.4222888	47
